wavenumber,spectra
2138.7048,0.008370452
2136.7764,0.008375687
2134.848,0.008353292
2132.9194,0.008354778
2130.991,0.008353867
2129.0623,0.00835873
2127.1338,0.00835569
2125.2053,0.00833485
2123.2769,0.0083296485
2121.3484,0.008316307
2119.42,0.008249743
2117.4915,0.008274226
2115.5627,0.008283749
2113.6343,0.008214252
2111.7058,0.008181264
2109.7773,0.008206992
2107.8489,0.008243563
2105.9204,0.008247345
2103.992,0.008221546
2102.0635,0.0081989225
2100.1348,0.008193385
2098.2063,0.008186092
2096.2778,0.008132578
2094.3494,0.008112998
2092.421,0.008108879
2090.4924,0.008162423
2088.564,0.00817863
2086.6355,0.008216684
2084.7068,0.008178326
2082.7783,0.008156751
2080.8499,0.008129236
2078.9214,0.008092912
2076.993,0.008032355
2075.0645,0.008013691
2073.136,0.008024525
2071.2073,0.007994824
2069.2788,0.007931987
2067.3503,0.007982067
2065.4219,0.008035292
2063.4934,0.007970323
2061.565,0.007926892
2059.6365,0.007839805
2057.708,0.007818181
2055.7793,0.007874287
2053.8508,0.007859982
2051.9224,0.007767546
2049.994,0.0076717916
2048.0654,0.0076756696
2046.137,0.0076926337
2044.2085,0.0076754335
2042.28,0.0077024144
2040.3513,0.0076804925
2038.4229,0.0075868475
2036.4944,0.0075335763
2034.5659,0.0074516595
2032.6375,0.0074104373
2030.709,0.0073790937
2028.7805,0.0073698256
2026.8518,0.0073667252
2024.9233,0.0073616365
2022.9949,0.0073375413
2021.0664,0.0073203887
2019.138,0.007438851
2017.2095,0.0074518616
2015.281,0.007227327
2013.3525,0.0071333083
2011.4238,0.0071071037
2009.4954,0.007045506
2007.5669,0.0070219
2005.6384,0.0070112925
2003.71,0.0069711898
2001.7815,0.0069166473
1999.853,0.0068870224
1997.9246,0.0068720086
1995.9958,0.0068364623
1994.0674,0.007000349
1992.1389,0.0070538577
1990.2104,0.0068164016
1988.282,0.0067556193
1986.3535,0.006699556
1984.425,0.006643904
1982.4963,0.006647134
1980.5679,0.0066241887
1978.6394,0.006543486
1976.7109,0.006513987
1974.7825,0.006499356
1972.854,0.0064229136
1970.9255,0.00638959
1968.9971,0.006605584
1967.0684,0.0067279907
1965.1399,0.0064884927
1963.2114,0.006388783
1961.283,0.0063748625
1959.3545,0.006369718
1957.426,0.0063194535
1955.4976,0.00628681
1953.5691,0.0061735353
1951.6404,0.006124436
1949.7119,0.0061745434
1947.7834,0.006281667
1945.855,0.0063692136
1943.9265,0.0066149705
1941.998,0.006489569
1940.0696,0.0060944282
1938.1411,0.0059863767
1936.2124,0.0059281285
1934.2839,0.0059394147
1932.3555,0.00594489
1930.427,0.0058749933
1928.4985,0.005830126
1926.5701,0.005881509
1924.6416,0.0061578066
1922.7129,0.006262472
1920.7844,0.0059575206
1918.856,0.006126217
1916.9275,0.0058118575
1914.999,0.005561554
1913.0706,0.0055218865
1911.1421,0.0056670494
1909.2136,0.0057144184
1907.2849,0.00554125
1905.3564,0.005416091
1903.428,0.0053699627
1901.4995,0.0053978404
1899.571,0.00541022
1897.6426,0.00550692
1895.7141,0.005633616
1893.7856,0.005359597
1891.8569,0.00545189
1889.9285,0.0056605707
1888.0,0.005231975
1886.0715,0.0051919688
1884.1431,0.00518372
1882.2146,0.0049978923
1880.2861,0.0049261707
1878.3574,0.0049277125
1876.429,0.004955696
1874.5005,0.0049188654
1872.572,0.005078912
1870.6436,0.0058021196
1868.7151,0.0061501106
1866.7866,0.005338397
1864.8582,0.0047927466
1862.9294,0.00465233
1861.001,0.004701698
1859.0725,0.0046427515
1857.144,0.00455361
1855.2156,0.0044796183
1853.2871,0.0044871843
1851.3586,0.004479551
1849.4302,0.0047132876
1847.5015,0.0049881055
1845.573,0.005512155
1843.6445,0.005154012
1841.7161,0.0043651736
1839.7876,0.004347168
1837.8591,0.004507004
1835.9307,0.004362094
1834.002,0.0042479485
1832.0735,0.0047767665
1830.145,0.0052863397
1828.2166,0.0046008574
1826.2881,0.0046634492
1824.3596,0.004492541
1822.4312,0.004076735
1820.5027,0.0039815903
1818.574,0.0039874758
1816.6455,0.0039953007
1814.717,0.0039417995
1812.7886,0.004284756
1810.8601,0.0044540423
1808.9316,0.004095566
1807.0032,0.0038767376
1805.0747,0.003915553
1803.146,0.0041893977
1801.2175,0.004489126
1799.2891,0.0042487513
1797.3606,0.0041447375
1795.4321,0.004463817
1793.5037,0.0051142476
1791.5752,0.0049232887
1789.6467,0.0038693158
1787.718,0.0037300666
1785.7896,0.0039510946
1783.8611,0.0038829225
1781.9326,0.0041633705
1780.0042,0.0041568135
1778.0757,0.0039084316
1776.1472,0.004382176
1774.2185,0.005338531
1772.29,0.0058619627
1770.3616,0.004646871
1768.4331,0.0043251133
1766.5046,0.0038425054
1764.5762,0.004152331
1762.6477,0.0048916885
1760.7192,0.0045627845
1758.7905,0.0046782526
1756.862,0.0050828676
1754.9336,0.004714795
1753.0051,0.0055194707
1751.0767,0.0065414677
1749.1482,0.007089388
1747.2197,0.006851374
1745.2913,0.006650532
1743.3625,0.00668391
1741.4341,0.006717357
1739.5056,0.006720621
1737.5771,0.0064694905
